Total Expected Net Income (USD),Total Female Farmers and Employees Reached
-169348.0,944.0
-156712.0,1170.0
-65778.0,724.0
-69518.0,2365.0
-61707.0,1506.0
-160009.0,28013.0
-78209.0,1101.0
-104790.0,6152.0
-159838.0,1445.0
-91789.0,45804.0
-58894.0,4323.0
-222664.0,6446.0
-120478.0,1875.0
-113345.0,3440.0
-72937.0,689.0
-161082.0,15223.0
-106961.0,1437.0
-141301.0,1984.0
-86937.0,1020.0
-150892.0,1558.0
-144506.0,7920.0
-105438.0,2758.0
-133876.0,1728.0
-105689.0,9263.0
-97167.0,838.0
-149644.0,14647.0
-114753.0,2926.0
-98680.0,2399.0
-195072.0,599.0
-2267.0,364.0
-147396.0,14967.0
-175885.0,2359.0
-95641.0,983.0
-160644.0,15583.0
-58432.0,554.0
-176776.0,14088.0
-110644.0,1729.0
-216181.0,2107.0
-218404.0,18518.0
-91250.0,2261.0
-264197.0,1623.0
-125470.0,1380.0
-225029.0,6025.0
15119.0,4256.0
-183757.0,5027.0
-146950.0,559.0
-84997.0,576.0
-179924.0,442.0
-169753.0,2488.0
-149548.0,2249.0
-55671.0,4294.0
-122110.0,2918.0
-134324.0,1119.0
-179521.0,5738.0
-116773.0,1189.0
-118686.0,14774.0
-68280.0,407.0
-121810.0,6463.0
-159261.0,694.0
-134108.0,4581.0
-83159.0,2584.0
-52658.0,541.0
-88734.0,1273.0
-72321.0,2281.0
-246269.0,6972.0
-134132.0,3232.0
-65521.0,352.0
-149684.0,895.0
-135968.0,2503.0
-79002.0,975.0
-127843.0,1732.0
-52057.0,1022.0
-128617.0,2476.0
-105333.0,259.0
-231708.0,3295.0
-190863.0,14178.0
-106126.0,2718.0
-71657.0,2535.0
-48303.0,3964.0
-143296.0,5108.0
-52963.0,1095.0
-78287.0,3388.0
-157279.0,6404.0
-141627.0,1649.0
-233243.0,9681.0
-162352.0,4706.0
-180267.0,3925.0
-50527.0,2419.0
-179706.0,670.0
-130543.0,4693.0
-179799.0,1127.0
-128223.0,1303.0
-121671.0,3118.0
-154317.0,1916.0
-71593.0,4927.0
-151302.0,3285.0
-157186.0,7932.0
-6613.0,525.0
-131235.0,3460.0
-196736.0,1135.0
